,movie_id_left,avg_ratings,count,movie_id,Horror,Action
0,424,1.3157894736842106,19,1,0,0
1,122,2.339622641509434,106,2,0,1
2,452,2.6666666666666665,66,3,0,0
3,930,2.7,80,4,0,1
4,849,2.7169811320754715,53,5,0,0
5,40,2.8947368421052637,57,6,0,0
6,820,2.774193548387097,93,7,0,0
7,254,2.4516129032258065,62,8,0,0
8,120,2.238805970149253,67,9,0,0
9,106,2.887323943661972,71,10,0,0
10,827,2.771929824561404,57,11,0,0
11,840,2.660377358490566,53,12,0,0
12,871,2.4,75,13,0,0
13,926,2.702970297029703,101,14,0,0
14,264,2.742574257425743,101,15,0,0
15,338,2.659340659340659,91,16,0,0
16,542,2.5294117647058822,51,17,1,1
17,396,2.814814814814815,54,18,0,0
18,395,2.5892857142857144,56,19,0,0
19,299,2.9315068493150687,73,20,0,0
20,826,2.575,80,21,0,1
21,523,3.9939024390243913,164,22,0,1
22,319,3.273809523809524,168,23,0,0
23,154,3.747126436781609,174,24,0,1
24,193,3.917197452229299,157,25,0,0
25,472,3.0822784810126582,158,26,0,0
26,125,3.557377049180328,244,27,0,1
27,265,3.8634361233480177,227,28,0,1
28,161,3.481818181818182,220,29,0,1
29,845,3.465909090909091,176,30,0,0
30,147,3.4702702702702704,185,31,0,0
31,227,3.279503105590062,161,32,0,0
32,298,3.768041237113402,194,33,0,1
33,11,3.847457627118644,236,34,0,0
34,215,3.69811320754717,212,35,0,0
35,179,3.909502262443439,221,36,0,0
36,326,3.36,175,37,0,0
37,739,3.323170731707317,164,38,0,0
38,283,3.7175141242937855,177,39,0,1
39,431,3.5359477124183005,153,40,0,0
40,751,3.4277777777777776,180,41,0,0
41,174,4.252380952380952,420,42,0,0
42,64,4.445229681978798,283,43,0,0
43,50,4.358490566037736,583,44,0,0
44,172,4.204359673024523,367,45,0,0
45,275,4.0111940298507465,268,46,0,0
46,98,4.28974358974359,390,47,0,0
47,318,4.466442953020135,298,48,0,0
48,12,4.385767790262173,267,49,0,0
49,313,4.2457142857142856,350,50,0,1
50,302,4.161616161616162,297,51,0,0
51,183,4.034364261168385,291,52,0,0
52,181,4.007889546351085,507,53,0,1
53,22,4.151515151515151,297,54,0,1
54,89,4.138181818181818,275,55,0,0
55,56,4.060913705583756,394,56,0,0
56,191,4.163043478260869,276,57,0,0
57,357,4.291666666666667,264,58,0,0
58,173,4.172839506172839,324,59,0,0
59,127,4.283292978208232,413,60,0,0
60,168,4.066455696202532,316,61,0,0
